"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"1","2017-2018","882408","3sixty Education","Secondary",NA,NA,11,5,11,5,208088
"2","2017-2018","880655","A R S Armenian Private School","Elem/Sec",197,238,65,49,262,287,208088
"3","2017-2018","885186","A+ Academy of Advancement","Elem/Sec",5,NA,29,32,NA,32,208088
"4","2017-2018","668377","A+ Academy of Advancement - Mississauga","Elem/Sec",5,NA,5,5,5,5,208088
"5","2017-2018","669367","A21 Academy","Elem/Sec",19,5,19,5,38,10,208088
"6","2017-2018","877417","ABC Montessori Private School","Elementary",47,49,NA,NA,47,49,208088
"7","2017-2018","884091","ACE Acumen High School","Secondary",NA,NA,20,11,20,11,208088
"8","2017-2018","665260","ADE SCHOOLS","Elem/Sec",NA,NA,5,5,5,5,208088
"9","2017-2018","879231","AFNORTH International School","Secondary",NA,NA,26,29,26,29,208088
"10","2017-2018","666320","AI-Manarat Heights","Elementary",71,73,NA,NA,71,73,208088
"11","2017-2018","881735","AIM Academy","Elementary",5,NA,NA,NA,5,NA,208088
"12","2017-2018","886708","AIM Learning Community","Elementary",18,5,NA,NA,18,5,208088
"13","2017-2018","882622","ALIF Canada","Elem/Sec",86,88,13,12,99,100,208088
"14","2017-2018","667321","AVRO Academy","Secondary",NA,NA,25,14,25,14,208088
"15","2017-2018","669111","Abacus Montessori & Private School","Elementary",5,5,NA,NA,5,5,208088
"16","2017-2018","877808","Abelard Centre for Education, The","Secondary",NA,NA,18,22,18,22,208088
"17","2017-2018","665161","Above and Beyond Learning Experience Inc","Elem/Sec",5,5,5,5,10,5,208088
"18","2017-2018","878987","Abraar","Elem/Sec",43,42,16,14,59,56,208088
"19","2017-2018","889470","Abraar School - Elementary","Elementary",191,194,NA,NA,191,194,208088
"20","2017-2018","886295","Abu Huraira Center Academy","Elementary",13,25,NA,NA,13,25,208088
"21","2017-2018","669906","Abu Huraira Islamic School","Elementary",13,25,NA,NA,13,25,208088
"22","2017-2018","883960","Abubakr Education Academy","Elementary",73,79,NA,NA,73,79,208088
"23","2017-2018","668358","Acacia International High School","Elem/Sec",5,NA,5,10,14,10,208088
"24","2017-2018","885545","Academic Vision","Secondary",NA,NA,5,5,5,5,208088
"25","2017-2018","876330","Academy for Gifted Children, The (PACE)","Elem/Sec",136,118,44,31,180,149,208088
"26","2017-2018","883027","Academy of Excellence","Secondary",NA,NA,10,5,10,5,208088
"27","2017-2018","668763","Academy of Learning College","Elem/Sec",5,5,5,NA,12,5,208088
